Coin ID,Valor del activo (en US$),Capitalización total de mercado (market cap),Volumen (volumen 24h),Porcentaje del volumen diario (volumen 24h / market cap),Suministro circulante (circulating supply),Suministro total (total supply),Suministro máximo (max supply),Posición en ranking,Categoría
28850,0.0064764635041181,343014681.7581861,29341435.916718155,-10.4081555275,15683307747.5,48707481931.09895,1000000000.0,109.0,Memes
4275,0.6644526113043373,47210519.49633773,2761195.29525354,1.74803798,71051748.0,71051748.0,1000000000.0,617.0,Memes
17588,0.0316048134983862,22733336.02842653,153106.46383321,7.09953886,719299800.0,2750000000.0,2750000000.0,820.0,Memes
22710,0.0321768830326903,26453945.443927325,2312205.30375867,0.86658908,822141331.0,1000000000.0,1000000000.0,774.0,Memes
19650,3.960224191443578e-07,21688677.52185689,2329704.87877544,2.52559797,15683307747.5,48707481931.09895,23499511997.5,839.0,Memes
28868,0.0110240624354023,25650398.45438925,10835409.47969178,10.6260658125,2326764621.0,9979000000.0,10000000000.0,781.0,Memes
15563,0.0527198114159883,44741730.89501628,341240.15262505,0.81146669,848670162.0,3840000000.0,1000000000.0,636.0,Memes
28363,0.0934059796429423,22501569.709815733,2934712.2776599,-7.42291604,240900741.0,3000000000.0,3000000000.0,827.0,Memes
3801,0.1524906505784875,151537584.012372,1920730.22453633,0.40119521,993750000.0,1205750000.0,1205750000.0,328.0,Memes
1757,0.0051260272192484,56195654.92110332,4097752.48340847,-1.97868827,10962808529.398026,10977277070.398026,1000000000.0,571.0,Memes
15585,0.3773531559559138,129990745.58118106,886257.9166937,-3.3186907,344480345.61122864,1000000000.0,1000000000.0,362.0,Memes
3816,0.0050794363011777,50801378.41935085,8217233.75127475,-2.93213042,10001381139.0,48707481931.09895,23499511997.5,601.0,Memes
6892,1.1072438720426239,343014681.7581861,28908433.59515982,2.03482915,26942816.0,26947968.0,31415926.0,75.0,Memes
22764,0.8055721542843883,120933233.25993794,8150939.68014276,-3.15785636,150120920.41260564,500000000.0,1000000000.0,381.0,Memes
30963,0.0367443035493137,134968267.83841556,29341435.916718155,-6.62413819,3673175289.804513,10000000000.0,10000000000.0,355.0,Memes
17145,0.2662000585261135,44984876.59560696,4423194.81139567,0.36373334,168988980.8615277,206834140.7829091,500000000.0,634.0,Memes
22265,0.0604466411541833,134519296.39645946,736665.15437641,2.75599074,2225422187.7,10000000000.0,10000000000.0,357.0,Memes
2300,0.0629564211128019,216897234.41566297,4720676.15306093,0.9996571,3445196384.766504,4181583773.552313,1000000000.0,266.0,Memes
28933,0.6016702985866557,166733760.05428162,13087290.33051207,-2.8004093,277118150.0,1007924351.904109,2500000000.0,307.0,Memes
19722,0.0453183243633366,27105894.10109788,212540.84685907,-5.58426656,598122161.0,1000000000.0,1000000000.0,768.0,Memes
8972,1.1072438720426239,136349580.72402057,4388664.48861377,-2.28880638,60372373.15468952,100000000.0,100000000.0,353.0,Memes
22289,0.0055080175028785,101818351.88916077,1984536.387885,-0.75313462,15683307747.5,48707481931.09895,23499511997.5,426.0,Memes
14101,1.1072438720426239,343014681.7581861,16249265.01936152,0.8199816,322263116.15491,1000000000.0,1000000000.0,91.0,Memes
7461,0.0754614593764378,42536421.85369923,7862019.52062154,-0.765655,563684060.7800494,700000000.0,700000000.0,649.0,Memes
15142,0.0011467489499894,31221740.127145115,572627.10032724,2.91579013,15683307747.5,48707481931.09895,1000000000.0,735.0,Memes
6951,0.0019172501941177,43754351.94921311,12608033.17824563,-1.80841307,15683307747.5,22821409581.0,1000000000.0,644.0,Memes
16678,0.0317626962319863,22617919.4680526,44275.59795292,5.58334966,712090664.5600001,5000000000.0,5000000000.0,825.0,Memes
22320,0.034973561275475,22051662.305057872,1170027.11782246,2.85998477,630523787.1363546,1000000000.0,1000000000.0,836.0,Memes
5429,0.0017520114008176,42007645.85757469,1395839.47237508,-3.46422762,15683307747.5,29892900001.0,23499511997.5,653.0,Memes
22331,0.072927335176284,24295087.191145837,5984504.00023193,1.80032417,333141025.0,5000000000.0,5000000000.0,802.0,Memes
15678,0.2093403071614783,36747738.0150478,4493337.08352117,-1.80298424,175540671.136504,300000000.0,300000000.0,689.0,Memes
28479,0.0424112982281729,44062191.00769457,6933053.51698944,1.84374023,1038925778.0,12000000000.0,12000000000.0,643.0,Memes
19778,0.0071384029588561,18060159.48590616,3926380.04402647,-0.83477779,2530000000.0,4600000000.0,4600000000.0,905.0,Memes
22359,0.1424230348430848,81314589.08413543,262062.70432536,0.0109243,570937062.0681136,1999999800.0,2000000000.0,485.0,Memes
23397,0.019034002261231,42497049.90565093,1409961.72102695,3.84822054,2232691229.222451,10000000000.0,10000000000.0,650.0,Memes
21351,0.0091135439176488,61212781.43286594,7841054.27692762,0.46169772,6716682553.57,21557770144.227,21867346500.41,551.0,Memes
10603,1.1072438720426239,343014681.7581861,29341435.916718155,6.85940411,1456815249.389814,2000000000.0,2000000000.0,30.0,Memes
29037,0.0052327729092391,34714892.24487828,2533248.67060663,2.60433882,6634129332.0,48707481931.09895,23499511997.5,707.0,Memes
29555,0.7453301385515342,140477553.6275309,19995384.23323407,-4.91257193,188476953.18014824,188476953.18014824,1000000000.0,348.0,Memes
7548,1.1072438720426239,343014681.7581861,2732123.04040848,-1.68742967,359584420.00219977,958537504.5130856,980000000.0,127.0,Memes
7046,1.1072438720426239,91236484.74225144,6835532.82888279,0.741366,52747801.21406849,52747802.71425598,1000000000.0,456.0,Memes
3978,0.3239997526263228,263228557.3667954,29341435.916718155,7.81930914,812434439.326204,812434439.326204,978064789.0,243.0,Memes
7064,0.2695240912181665,78100133.89635533,29341435.916718155,-2.93563039,289770511.9544846,289770511.9544846,1000000000.0,493.0,Memes
6554,0.1528031312197654,99316706.03240135,3000704.73867933,-0.62818344,649965123.3557609,808000000.0,1000000000.0,432.0,Memes
21916,0.1634033354148409,22710475.47723326,75591.62704996,1.08771526,138984161.0,998002280.5,1000000000.0,823.0,Memes
9119,0.0161358180926007,66883047.84925734,5515368.51946859,-3.45302234,4145005072.9022,6360762505.0843,10000000000.0,530.0,Memes
9637,0.0369251307266561,26577048.241592143,12753921.21966452,4.06525887,719755021.0,990000000.0,1000000000.0,772.0,Memes
8615,1.1072438720426239,89454251.34111331,7592026.91525991,4.06382158,20577762.00717267,30000000.0,30000000.0,457.0,Memes
7080,0.0428062142494927,343014681.7581861,29341435.916718155,1.03797437,15683307747.5,32377697637.50256,1000000000.0,64.0,Memes
18345,0.3794851965585127,19121657.317557037,565331.94745079,-6.4805839,50388414.333334,750000000.0,1000000000.0,875.0,Memes
8620,0.0118961346432058,18902472.72234143,559868.85609625,10.6260658125,1588959211.4811049,10000000000.0,1000000000.0,882.0,Memes
1966,0.4214857843316362,343014681.7581861,29341435.916718155,-0.30015907,1908319865.391588,2193179327.320146,1000000000.0,93.0,Memes
18876,1.1072438720426239,343014681.7581861,29341435.916718155,-0.74699911,604895833.0,1000000000.0,1000000000.0,101.0,Memes
22461,0.2821044667563179,113378980.84852344,6127996.5033598,-3.22046616,401904238.356,1000000000.0,1000000000.0,392.0,Memes
14783,0.6636063237339087,169895918.8856961,25237634.94294109,-3.71407104,256019137.86737895,347714007.0,347714007.0,304.0,Memes
10688,0.7905507445283392,288914123.1860838,29341435.916718155,1.31897944,365459301.86740464,1000000000.0,1000000000.0,200.0,Memes
10180,0.3493188283583366,140301516.87138817,13557451.85912509,4.25259663,401643156.5706064,432919966.027866,432919966.027866,349.0,Memes
9674,0.71043112785989,188128015.6826082,998698.18679721,6.7921233,264808238.6948992,500000000.0,500000000.0,285.0,Memes
11212,0.0038577545471689,61424684.36816695,2568524.49978049,-2.63346905,15683307747.5,36000000000.0,23499511997.5,549.0,Memes
12749,1.1072438720426239,126849244.95344213,13513626.8788488,-4.78722905,90463651.99999112,180000000.0,180000000.0,368.0,Memes
11213,0.2291854756136618,57018937.55945675,823936.92763197,6.18995877,248789489.8522,360000000.0,360000000.0,567.0,Memes
18895,0.7798750834412872,93161538.19859228,2172443.09520658,3.38282871,119457000.45641468,322641567.0,1000000000.0,446.0,Memes
